invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-35840200027,2021-04-15,4659,CASEY'S GENERAL STORE #2802 / CONRAD,409 E CENTER,CONRAD,50621.0,POINT(-92.868874 42.224536),38,GRUNDY,1082100.0,IMPORTED CORDIALS & LIQUEUR,192.0,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-42662500022,2021-12-07,5866,HOMETOWN FAMILY MARKET,310 2ND ST,GLADBROOK,50635.0,POINT(-92.716422 42.187653),86,TAMA,1082100.0,IMPORTED CORDIALS & LIQUEUR,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-35431800033,2021-03-30,5352,CASEY'S GENERAL STORE # 3565/ TRIPOLI,600 7TH AVE,TRIPOLI,50676.0,,9,BREMER,1082100.0,IMPORTED CORDIALS & LIQUEUR,192.0,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-44628800006,2022-02-10,5941,PRIME MART - CEDAR FALLS,2728 CENTER ST,CEDAR FALLS,50613.0,POINT(-92.455972 42.561054),7,BLACK HAWK,1082100.0,IMPORTED CORDIALS & LIQUEUR,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-25502000058,2020-02-27,5684,FIVE CORNERS LIQUOR & WINE,809 E 18TH ST,CEDAR FALLS,50613.0,POINT(-92.436845 42.5214),7,BLACK HAWK,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-22827200008,2019-10-28,5211,KUM & GO #129  /  JOHNSTON,5225 NW  86TH  ST,JOHNSTON,50131.0,POINT(-93.736395 41.655804),77,POLK,1082000.0,IMPORTED CORDIALS & LIQUEURS,192.0,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-36153800021,2021-04-27,5669,GUDDI MART / WATERLOO,306 BYRON AVE,WATERLOO,50702.0,POINT(-92.353141 42.480288),7,BLACK HAWK,1082100.0,IMPORTED CORDIALS & LIQUEUR,192.0,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-27476000025,2020-05-26,5156,CASEY'S GENERAL STORE #1020  / LE CL,"210, JONES ST",LE CLAIRE,52753.0,POINT(-90.345923 41.598593),82,SCOTT,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-41675000075,2021-11-05,6235,WORLD LIQUOR & TOBACCO + VAPORS / ADEL,918 COURT ST.,ADEL,50003.0,POINT(-94.019638 41.618253),25,DALLAS,1082100.0,IMPORTED CORDIALS & LIQUEUR,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-26110300035,2020-03-25,5911,OLD FIRE LIQUOR / BUFFALO CENTER,113 1ST ST NW,BUFFALO CENTER,50424.0,POINT(-93.947595 43.386755),95,WINNEBAGO,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-36721100096,2021-05-18,3723,J D SPIRITS LIQUOR,1023  9TH ST,ONAWA,51040.0,POINT(-96.095845 42.025841),67,MONONA,1082100.0,IMPORTED CORDIALS & LIQUEUR,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-24180500074,2019-12-26,5068,TOBACCO SHOP / ARNOLDS PARK,612 S HIGHWAY 71,ARNOLDS PARK,51331.0,POINT(-95.140274 43.361577),30,DICKINSON,1082000.0,IMPORTED CORDIALS & LIQUEURS,192.0,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-21050600011,2019-08-05,4467,KUM & GO #438 / MUSCATINE,1429 PARK AVE,MUSCATINE,52761,POINT(-91.030595 41.441918),70,MUSCATINE,1082000.0,IMPORTED CORDIALS & LIQUEURS,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER MINI MEISTERS,12,20,4.93,7.4,1,7.4,0.02,0.0
INV-46493700051,2022-04-14,5995,SUPER STOP LIQUOR AND WINE / ALTOONA,2635 ADVENTURELAND DR,ALTOONA,50009.0,POINT(-93.494757 41.658525),77,POLK,1082100.0,IMPORTED CORDIALS & LIQUEUR,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,5.63,8.45,1,8.45,0.02,0.0
INV-48035400027,2022-06-04,4873,CASEY'S GENERAL STORE #2559 / GRANGER,"1802, SYCAMORE ST",GRANGER,50109.0,POINT(-93.824366 41.758781),25,DALLAS,1082100.0,IMPORTED CORDIALS & LIQUEUR,192,"MAST-JAGERMEISTER US, INC",65259,JAGERMEISTER LIQUEUR MINI MEISTERS,12,20,5.63,8.45,1,8.45,0.02,0.0
INV-29341000008,2020-08-10,5204,QUIK STOP  /  BURLINGTON,1812 OSBORN ST,BURLINGTON,52601.0,POINT(-91.112658 40.826163),29,DES MOINES,1071100.0,COCKTAILS /RTD,557,"WORLDWIDE LIBATIONS, LLC",100280,THE BITTER TRUTH COCKTAIL BAR PACK,12,20,9.5,14.25,1,14.25,0.02,0.0
INV-23553200014,2019-11-27,5311,THE LIQUOR STORE,132 N. MAIN,PAULLINA,51046.0,POINT(-95.687686 42.979946),71,OBRIEN,1701100.0,TEMPORARY & SPECIALTY PACKAGES,305.0,MHW LTD,100794,RUMCHATA MINICHATAS SUMMER TUMBLER VAP,12,25,5.0,7.5,1,7.5,0.02,0.0
INV-19985000001,2019-06-14,5411,BLUEJAY MARKET,2810 WILLS AVE,PERRY,50220,POINT(-94.081127 41.838488),25,DALLAS,1701100.0,TEMPORARY & SPECIALTY PACKAGES,305,MHW LTD,100794,RUMCHATA MINICHATAS SUMMER TUMBLER VAP,12,25,5.0,7.5,1,7.5,0.02,0.0
INV-38648300035,2021-07-26,5207,JIM'S FOODS  /  CEDAR RAPIDS,"812, SIXTH  ST SW",CEDAR RAPIDS,52404.0,POINT(-91.677073 41.968016),57,LINN,1031200.0,AMERICAN FLAVORED VODKA,205.0,E & J GALLO WINERY,39381,NEW AMSTERDAM PINK WHITNEY,24,200,1.99,2.99,38,113.62,7.6,2.0
INV-18824300003,2019-04-17,2653,HY-VEE WINE AND SPIRITS / WASHINGTON,1004 W MADISON ST,WASHINGTON,52353,POINT(-91.704567 41.296576),92,WASHINGTON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,559,"MID-OAK DISTILLERY, INC.",57273,BLONDIES STRAWBERRY LEMONADE CANS,6,1420,5.5,8.25,6,49.5,8.52,2.25
INV-18864800023,2019-04-19,2228,RODGERS SPIRITS AND MORE,53 GREEN ST,WINTERSET,50273,POINT(-94.013374 41.336405),61,MADISON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,559,"MID-OAK DISTILLERY, INC.",57273,BLONDIES STRAWBERRY LEMONADE CANS,6,1420,5.5,8.25,6,49.5,8.52,2.25
